buffer_distance_m,tp_length_m,fp_length_m,fn_length_m,tp_count,fp_count,fn_count,ml_total_length_m,osm_total_length_m,precision,recall,f1_score,iou,tile_id,xtile,ytile,lat,lon,ml_count,osm_count,building_coverage_pct,building_count,avg_building_size_m2,building_density_per_km2,total_building_area_m2,open_space_ratio,tile_area_m2,error_rate,false_positive_rate,false_negative_rate,area_type
5.0,295.96,0.0,0.0,10.0,0.0,0.0,295.96,178.13,1.0,1.0,1.0,1.0,23,158640,193932,42.35220119796242,-71.0702133178711,10,180,69.99,3,743.91,940.84,2231.72,0.3001,3188.65,0.0,0.0,0.0,High Density
5.0,217.9,0.0,11.92,10.0,0.0,12.0,217.9,207.35,1.0,0.9482,0.9734,0.9482,24,158641,193925,42.355753199481114,-71.06952667236328,10,209,45.03,4,358.9,1254.59,1435.6,0.5497,3188.29,0.026599999999999957,0.0,0.051866678269950395,Medium Density
5.0,157.06,0.0,7.94,6.0,0.0,8.0,157.06,118.02,1.0,0.9519,0.9754,0.9519,25,158641,193926,42.3552457829835,-71.06952667236328,6,119,12.44,1,396.51,313.64,396.51,0.8756,3188.34,0.024599999999999955,0.0,0.04812121212121212,Low Density
5.0,162.7,0.0,0.0,10.0,0.0,0.0,162.7,161.6,1.0,1.0,1.0,1.0,26,158641,193927,42.35473836238896,-71.06952667236328,10,165,18.71,1,596.53,313.64,596.53,0.8129,3188.39,0.0,0.0,0.0,Low Density
5.0,253.86,0.0,2.99,15.0,0.0,3.0,253.86,252.76,1.0,0.9883,0.9941,0.9883,27,158641,193928,42.35423093769748,-71.06952667236328,15,257,21.81,1,695.27,313.63,695.27,0.7819,3188.44,0.005900000000000016,0.0,0.011641035623905003,Low Density
5.0,5.13,0.0,4.99,2.0,0.0,5.0,5.13,21.55,1.0,0.5068,0.6727,0.5068,28,158641,193929,42.35372350890908,-71.06952667236328,2,22,0.83,1,26.46,313.63,26.46,0.9917,3188.49,0.32730000000000004,0.0,0.49308300395256915,Open
5.0,28.28,0.0,0.0,1.0,0.0,0.0,28.28,3.99,1.0,1.0,1.0,1.0,29,158641,193930,42.35321607602376,-71.06952667236328,1,4,0.51,1,16.26,313.62,16.26,0.9949,3188.54,0.0,0.0,0.0,Open
5.0,297.0,0.0,0.0,15.0,0.0,0.0,297.0,178.9,1.0,1.0,1.0,1.0,30,158641,193931,42.35270863904154,-71.06952667236328,15,181,21.98,1,700.77,313.62,700.77,0.7802,3188.59,0.0,0.0,0.0,Low Density
5.0,302.73,0.0,0.0,16.0,0.0,0.0,302.73,248.23,1.0,1.0,1.0,1.0,31,158641,193932,42.35220119796242,-71.06952667236328,16,253,75.58,7,344.3,2195.29,2410.09,0.2442,3188.64,0.0,0.0,0.0,High Density
5.0,116.47,42.84,0.0,6.0,1.0,0.0,159.31,104.39,0.7311,1.0,0.8447,0.7311,32,158642,193925,42.355753199481114,-71.06884002685547,7,106,52.12,4,415.46,1254.59,1661.82,0.4788,3188.29,0.1553,0.2689096729646601,0.0,Medium Density
5.0,243.57,33.15,11.06,8.0,1.0,12.0,276.72,114.8,0.8802,0.9566,0.9168,0.8464,33,158642,193926,42.3552457829835,-71.06884002685547,9,117,72.68,4,579.3,1254.57,2317.19,0.2732,3188.34,0.08320000000000005,0.11979618386817,0.043435573184620824,High Density
5.0,156.33,50.83,11.48,9.0,2.0,12.0,207.17,146.27,0.7546,0.9316,0.8338,0.715,34,158642,193927,42.35473836238896,-71.06884002685547,11,148,54.76,5,349.17,1568.19,1745.87,0.4524,3188.39,0.16620000000000001,0.2453659007530411,0.06841070258029915,Medium Density
5.0,282.6,0.0,0.0,24.0,0.0,0.0,282.6,238.81,1.0,1.0,1.0,1.0,35,158642,193928,42.35423093769748,-71.06884002685547,24,241,33.14,4,264.14,1254.53,1056.58,0.6686,3188.44,0.0,0.0,0.0,Medium Density
5.0,160.24,0.0,0.0,14.0,0.0,0.0,160.24,162.98,1.0,1.0,1.0,1.0,36,158642,193929,42.35372350890908,-71.06884002685547,14,166,18.14,1,578.36,313.63,578.36,0.8186,3188.49,0.0,0.0,0.0,Low Density
5.0,227.57,0.0,0.0,11.0,0.0,0.0,227.57,136.25,1.0,1.0,1.0,1.0,37,158642,193930,42.35321607602376,-71.06884002685547,11,137,16.13,1,514.36,313.62,514.36,0.8387,3188.54,0.0,0.0,0.0,Low Density
5.0,140.76,0.0,0.0,4.0,0.0,0.0,140.76,142.1,1.0,1.0,1.0,1.0,38,158642,193931,42.35270863904154,-71.06884002685547,4,144,16.37,2,261.01,627.24,522.03,0.8363,3188.59,0.0,0.0,0.0,Low Density
5.0,217.46,0.0,106.0,9.0,0.0,107.0,217.46,235.91,1.0,0.6723,0.804,0.6723,39,158642,193932,42.35220119796242,-71.06884002685547,9,240,58.1,7,264.64,2195.29,1852.49,0.419,3188.64,0.19599999999999995,0.0,0.32770667161318245,Medium Density
5.0,105.6,0.0,0.0,2.0,0.0,0.0,105.6,71.89,1.0,1.0,1.0,1.0,40,158643,193925,42.355753199481114,-71.06815338134766,2,72,11.62,1,370.36,313.65,370.36,0.8838,3188.28,0.0,0.0,0.0,Low Density
5.0,143.3,112.06,0.0,2.0,4.0,0.0,255.36,18.99,0.5612,1.0,0.7189,0.5612,41,158643,193926,42.3552457829835,-71.06815338134766,6,19,8.95,1,285.27,313.64,285.27,0.9105,3188.33,0.2811,0.4388314536340852,0.0,Open
5.0,347.09,17.68,27.47,17.0,1.0,28.0,364.76,180.89,0.9515,0.9267,0.9389,0.8849,42,158643,193927,42.35473836238896,-71.06815338134766,18,183,34.22,4,272.73,1254.55,1090.94,0.6578,3188.39,0.06110000000000004,0.04846889820983086,0.07333938487825717,Medium Density
5.0,305.87,117.62,0.0,9.0,7.0,0.0,423.5,89.95,0.7223,1.0,0.8387,0.7223,43,158643,193928,42.35423093769748,-71.06815338134766,16,90,69.18,4,551.44,1254.53,2205.77,0.3082,3188.44,0.1613,0.27773973411414676,0.0,High Density
5.0,241.73,57.69,0.0,2.0,3.0,0.0,299.43,77.9,0.8073,1.0,0.8934,0.8073,44,158643,193929,42.35372350890908,-71.06815338134766,5,78,59.86,3,636.21,940.88,1908.63,0.4014,3188.49,0.10660000000000003,0.19267250016698953,0.0,Medium Density
5.0,214.11,0.0,0.0,2.0,0.0,0.0,214.11,71.86,1.0,1.0,1.0,1.0,45,158643,193930,42.35321607602376,-71.06815338134766,2,72,23.67,2,377.43,627.25,754.86,0.7633,3188.54,0.0,0.0,0.0,Low Density
